Constantinople, Offensive, Poisoned, Betrayal, Size Increase, End Rounds, Given Rounds, Result, O_Casualty, O_Left_Rate, T_Casualty, T_left_Rate, Trend,
,,,,,,,,,,,,,
0,0,0,0,0,101,200,Bayezid LOST,1,0,0.640842,0,Ottoman Might Lost, 
,,,,,,,,,,,,,
0,0,0,0,0,68,200,Bayezid LOST,0.98375,0,0.61204,0,Ottoman Might Lost, 
,,,,,,,,,,,,,
0,0,0,0,0,97,200,Bayezid LOST,0.857143,0.142857,0.547529,0,Ottoman Might Lost, 
,,,,,,,,,,,,,
0,0,0,0,0,99,200,Bayezid LOST,0.970274,0.0295357,0.669071,0,Ottoman Might Lost, 
,,,,,,,,,,,,,
0,0,0,0,0,107,200,Bayezid LOST,0.970595,0.0294048,0.555286,0,Ottoman Might Lost, 
,,,,,,,,,,,,,
0,0,0,0,0,97,200,Bayezid LOST,0.981595,0.0178571,0.509825,0,Ottoman Might Lost, 
,,,,,,,,,,,,,
0,0,0,0,0,93,200,Bayezid LOST,0.977286,0.0178571,0.578081,0,Ottoman Might Lost, 
,,,,,,,,,,,,,
0,0,0,0,0,93,200,Bayezid LOST,0.964286,0.0357143,0.60501,0,Ottoman Might Lost, 
0,0,0,0,0,101,200,Bayezid LOST,1,0,0.661502,0,Ottoman Might Lost, 
,,,,,,,,,,,,,
0,0,0,0,0,106,200,Bayezid LOST,0.98131,0.017869,0.622121,0,Ottoman Might Lost, 
,,,,,,,,,,,,,
0,0,0,0,0,112,200,Bayezid LOST,0.930071,0.0446667,0.526404,0,Ottoman Might Lost, 
